wallet,tx_hash,value,from,to,success,timestamp
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9da9da95c9c48d82a818d60e13c14981264bb8b8418befbac79ec519595ff9d7,0.2,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,True,1493254201
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x48154e11e7844969545339b8328748bf05c49841674e5d3b50fb4b0bede6f852,0.007,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9ae98746eb8a0aeee5ff2b6b15875313a986f103,True,1493254443
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xe17bf3ca4d4616c89c3cefba65077420eecac2e115fdb97d7564f6aa158b5a06,0.007,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9ae98746eb8a0aeee5ff2b6b15875313a986f103,True,1493254495
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xaf10622c370d28f2e1f2631efbc02c35e296a7d6dbd163bfadee7c32609b20f1,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9ae98746eb8a0aeee5ff2b6b15875313a986f103,True,1493254558
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x42e2cf2103643a349594a0135d5842e02f643ba578e718e7e8f81d1f68393ec5,0.02,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0b8d56c26d8cf16fe1bddf4967753503d974de06,True,1493490509
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x53c1528ba495a242ea3459d07f22d4dcf610d0591fd3b478b4a163fb33c88308,0.01,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1495613500
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x8afe0d6a755649c67c4ff41019d5d6420f41c7d599424a2633cf6a98024140f8,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1495613775
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xf2a8d0ccaa585325e54bb539dab3a1cf4cc915ed4e3e10020e944cbb782d0e6c,0.01,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1495613921
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xd630618b3c92f735c86d5e17df7424ff8a005c8255e29e9a73da69f0951d3927,0.01,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1495614301
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5a928439f432b83fef741e0fd9b25985a2cabfcbe7de8f029fab917c4ea8c504,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x27d233fa6032e848a016092d70493b2a5f13a95f,True,1495699151
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0d00a8543b22b36dc385ebad0556afd7fd197251fe873543894f82d95c2b0007,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,False,1496631013
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4d23e2d80c0eb2486dba948c880ecf690efc3b71100aaa0a6dcfbf1b3572c85a,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1496631300
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9e66f6bf60c0d7b06a4a03aa7a6e9b51f2ead03774ba95be6753b3fe479b5fee,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1496631434
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x8131ede5fb621700d3da7f72135af91896d70fc1848a89f687597c7456cf43c9,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,True,1496631657
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3dad3ee64d7537306c18021f4a2d8cdd9ae36d1bb27292c9e34913855fc945df,0.299,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,True,1496634349
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xfeb72751836bfcbf9e5190c4ccbafdc974a97abbb118cb221311b68ecb037d1b,0.25,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc46cde805acc8e7507e53e36486c7d8600559d65,True,1496634498
